"""fullDescription""","""pctFollowersFromAIList""","""followersCount""","""aiRelated"""
"""scubadiverlife Scuba Diver Life Photos, videos and daily articles about scuba diving, marine life, ocean conservation and much more.""",0.11538461538461539,28306,0
"""sportdiver Sport Diver Magazine The leading magazine for scuba diving enthusiasts, and an official publication of Bonnier Corporation.""",0.11538461538461539,29232,0
"""scubacom Scuba.com Your Source For All Your Diving Needs...""",0.07692307692307693,14705,0
"""DANGlobalSafety Divers Alert Network Divers Alert Network (DAN) is a nonprofit medical and research organization dedicated to the safety and health of scuba divers.""",0.07692307692307693,27912,0
"""scubadivergear ScubaGearReviewer https://t.co/ltl0IKCAfI brings you all that is #scuba for all the novice and expert #divers #scubadiving #divegear""",0.07692307692307693,3016,0
"""TheScubaNews The Scuba News For Those Who Love Scuba Diving And Everything Related To Scuba Diving. Got some #scuba #news to share? Contact us at http://t.co/POCwPobd3i""",0.07692307692307693,15035,0
"""PADI PADI PADI is The Way the World Learns to Dive - How has scuba diving transformed YOUR life? Tweet us your diving stories and pictures! #MyPADI""",0.07692307692307693,96382,0
"""projectaware Project AWARE a global movement for ocean protection powered by a community of adventurers. We connect the passion for ocean adventure with the purpose of marine conservation""",0.07692307692307693,39155,0
"""PADI_Travel PADI Travel PADI Travel is the ultimate online travel agency for divers.""",0.038461538461538464,12151,0
"""Matt_Bolton Matt Bolton Multi-Award Winning Platinum #PADI Course Director. Over 20 Years Dedicated to Instructor Development and at the Centre of The Thailand Scuba Diving Industry.""",0.038461538461538464,8153,0
"""TheScubaNewsCA Scuba News Canada Official Twitter feed for @TheScubaNews Canada Team. Bringing you everything from the world of scuba diving in #Canada""",0.038461538461538464,443,0
"""crystaldive Crystal Dive Koh Tao Crystal Dive is a leading Asia Pacific #PADI Dive Centre. Full range of PADI Diving Courses, Pro level, Freediving & Tech Diving â€¢ Scuba Diving Internships ðŸ‘ŒðŸ‡¹ðŸ‡­""",0.038461538461538464,8987,0
"""AquaLungDivers Aqua Lung The official profile of Aqua Lung: First to Dive""",0.038461538461538464,8326,0
"""GonnaDive GonnaDive.com Where are you gonna dive?""",0.038461538461538464,4200,0
"""divein_news DIVE.in We write about Scuba Diving all day long. Whatever moves under water, we got it covered with tons of free guides, articles and reviews.""",0.038461538461538464,4967,0
"""DEMAorg DEMA.org DEMA exists to promote sustainable growth in safe recreational diving and snorkeling while protecting the underwater environment.""",0.038461538461538464,2753,0
"""DeepMindAI DeepMind Founded in 2010.  Building Artificial General Intelligence. The creators of #AlphaGo and Atari DQN""",0.47058823529411764,140230,1
"""fchollet FranÃ§ois Chollet Deep learning @google. Author of Keras, neural networks library. Author of book ""Deep Learning with Python"". Founder of Wysp, learning platform for artists.""",0.47058823529411764,69584,1
"""element_ai Element AI The world's largest AI applied research lab helping entrepreneurs and companies embrace an AI-First world. We're hiring:  https://t.co/rpSBA9qRUG""",0.35294117647058826,7982,1
"""TensorFlow TensorFlow TensorFlow is a fast, flexible, and scalable open-source machine learning library for research and production.""",0.29411764705882354,66516,1
"""PhilBeaudoin Philippe Beaudoin Ex Google engineer, now trying to beat the singularity to the finish line.""",0.23529411764705882,1212,1
"""GCPcloud Google Cloud Platform Helping developers build whatâ€™s next with visionary cloud tools and infrastructure, applications, maps and devices.""",0.23529411764705882,690180,1
"""_NextAI NextAI Connecting entrepreneurs & industry experts to build Canada's artificial intelligence ecosystem. A @Next_Canada program, along with @next36 & @Next_Founders.""",0.23529411764705882,2330,1
"""vbecaert ValÃ©rie BÃ©caert Bridging research and real life, Director Research Group Element AI""",0.17647058823529413,759,1
"""canadadotai Canada.ai Canada.ai is a national, collaborative effort that highlights and celebrates Canadian advances in #AI and #MachineLearning.""",0.17647058823529413,1487,1
"""HumeKathryn Kathryn Hume VP Product & Strategy @IntegrateAI. Venture Partner @ffvc. Meditative materialist cosmopolitan nomad, of steadfast habits and broad curiosity.""",0.17647058823529413,2272,1
"""alexandredrouin Alexandre Drouin PhD candidate, Machine Learning + Computational Biology @ ULaval, Research Intern @ Element AI -- Antibiotic resistance, interpretable models, deep learning""",0.11764705882352941,194,1
"""nyghtowl Melanie Warrick Tweets about tech, AI/ML, feminism, inclusion, pop culture references,  random bits & bobs, and Google Cloud stuff. 1/2 of @GCPPodcast Tweeting independently.""",0.058823529411764705,2449,1
"""twimlai This Week in ML & AI This Week in #MachineLearning & #AI (podcast) brings you the weekâ€™s most interesting and important stories from the world of #ML and artificial intelligence.""",0.058823529411764705,3026,1
"""GCPDataML GCP Data & ML Covering cloud-native managed services for big data analytics and machine learning from Google Cloud: BigQuery, Cloud ML, Dataflow, Dataproc, Pub/Sub, Databases""",0.058823529411764705,7678,1